"","ano","mes","mes_num","total_geral","total_m545","prop","amp_aocial_pessoa_portadora_aeficiencia","aposent_invalidez_acidente_trabalho","aposentadoria_invalidez_previdenciaria","auxilio_acidente","auxilio_acidente_previdenciario","auxilio_doenca_por_acidente_do_trabalho","auxilio_doenca_revidenciario","conc_base_artigo_27_inciso_ii_do_rbps","Conc_com_base_artigo_35_da_lei_821391","conc_decorrente_revisao_administrativa","concessao_decorrente_de_acao_judicial","concessao_em_fase_recursal","concessao_normal","idade_media","idade_dp","sexo_feminino","sexo_masculino","urbano","rural","nao_informado","filho","autonomo","desempregado","domestico","empregado","empresario","facultativo","optante_pela_lei_618474","segurado_especial","trabalhador_avulso","acre","alagoas","amapa","amazonas","bahia","ceara","distrito_federal","espirito_santo","goias","maranhao","mato_grosso","mato_grosso_do_sul","minas_gerais","para","paraiba","parana","pernambuco","piaui","rio_de_janeiro","rio_grande_do_norte","rio_grande_do_sul","rondonia","roraima","santa_catarina","sao_paulo","sergipe","tocantins"
"1",2019,"janeiro",1,338947,2811,0.008293332,22,29,202,0,2,313,2243,47,0,58,36,0,2670,48.7,11.3,1326,1485,2487,324,2391,420,428,440,81,1447,0,75,7,324,9,4,36,3,27,112,45,45,69,69,44,49,53,402,95,20,204,79,48,249,53,246,60,1,283,461,34,20
"2",2019,"fevereiro",2,409841,3437,0.008386179,18,34,232,4,0,370,2779,58,0,62,42,2,3273,48.2,11.4,1642,1795,3139,298,2887,550,564,535,148,1790,0,86,7,298,9,7,51,2,42,111,66,55,86,107,53,56,73,532,117,34,244,104,45,321,70,236,67,3,351,528,51,25
"3",2019,"marco",3,364207,3049,0.008371613,12,36,251,4,0,323,2423,42,0,80,44,1,2882,47.9,11.1,1430,1619,2740,309,2556,493,472,420,107,1657,0,70,5,307,11,4,56,1,25,128,55,49,50,88,51,53,71,512,85,23,264,100,43,248,45,231,54,0,319,441,29,24
"4",2019,"abril",4,428183,3445,0.008045625,21,53,291,0,1,328,2751,54,0,62,44,0,3285,48.5,11.2,1638,1807,3105,340,2896,549,544,484,125,1838,0,94,9,337,14,4,51,2,57,122,75,72,72,112,47,61,83,478,90,25,330,113,55,251,36,269,69,0,387,512,49,23
"5",2019,"maio",5,500917,3546,0.007079017,19,31,200,2,1,408,2885,59,1,74,59,0,3353,47.9,11.1,1726,1820,NA,NA,2969,577,529,498,119,1902,0,89,5,395,9,9,61,3,47,141,45,51,88,123,59,54,82,530,112,32,341,111,76,306,35,265,50,0,367,503,44,11
"6",2019,"junho",6,402826,2985,0.007410147,10,26,196,2,0,335,2416,34,0,74,46,1,2830,47.9,11,1405,1580,NA,NA,2491,494,454,408,94,1647,0,54,7,314,7,3,39,4,48,88,69,35,65,97,77,66,68,419,102,26,260,65,51,259,36,252,50,1,281,473,33,18
"7",2019,"julho",7,460998,2945,0.006388314,14,25,107,1,0,340,2458,50,0,63,48,2,2782,47.5,11.1,1356,1589,NA,NA,2473,472,443,359,113,1617,0,61,3,341,8,3,45,0,46,115,68,41,60,91,63,48,70,409,114,25,281,90,51,219,22,245,53,0,276,458,35,17
"8",2019,"agosto",8,510626,3138,0.006145398,18,16,88,1,1,367,2647,49,0,61,33,1,2994,47.2,11.2,1486,1652,NA,NA,2633,505,471,400,103,1769,0,77,1,309,8,4,58,4,41,110,58,57,80,84,63,52,66,484,91,26,270,84,56,267,29,239,56,3,302,501,35,18
"9",2019,"setembro",9,454897,3022,0.006643262,10,10,109,0,0,385,2508,39,0,40,33,0,2910,47.1,11.1,1472,1550,NA,NA,2563,459,446,389,118,1710,1,63,2,286,7,3,42,4,30,110,71,44,78,98,65,45,73,487,93,17,265,91,40,228,27,225,63,3,292,475,25,28
"10",2019,"outubro",10,521354,3051,0.00585207,12,9,91,1,0,411,2527,57,0,80,21,0,2893,46.7,11.2,1483,1568,NA,NA,2491,560,481,381,120,1748,0,62,1,250,8,2,48,2,40,123,61,36,51,77,48,69,59,463,104,27,254,95,41,242,35,223,67,2,299,525,36,22
"11",2019,"novembro",11,439311,2598,0.005913806,10,8,42,0,0,370,2168,51,0,46,35,0,2466,46.4,11,1279,1319,NA,NA,2138,460,360,306,73,1576,0,69,1,206,7,3,50,2,34,95,59,46,62,68,54,44,64,382,96,28,231,62,27,242,30,164,40,1,221,457,18,18
"12",2019,"dezembro",12,373716,2173,0.005814576,17,7,41,0,0,312,1796,40,0,52,10,1,2070,47.3,10.9,1028,1145,NA,NA,1817,356,364,259,87,1198,0,59,2,201,3,0,37,0,28,96,41,50,44,48,47,29,51,364,74,25,194,68,25,180,20,154,44,2,170,345,24,13
"13",2020,"janeiro",1,358075,2083,0.005817217,14,1,43,0,0,291,1734,26,0,29,17,0,2011,46.5,11,953,1130,1924,159,1717,366,333,270,65,1206,0,45,1,159,4,3,26,0,35,70,37,29,34,63,62,25,61,302,88,26,144,56,24,201,16,154,35,0,191,354,34,13
"14",2020,"fevereiro",2,392930,2442,0.006214847,14,2,17,1,0,348,2060,48,1,69,24,1,2299,46.2,11.3,1174,1268,2261,181,1987,455,355,301,91,1458,0,48,2,181,6,2,21,2,41,99,59,38,63,72,30,32,55,373,97,25,157,66,33,225,43,168,45,1,204,458,16,17
"15",2020,"marco",3,334191,1950,0.005834987,17,3,24,0,0,277,1629,39,0,37,32,1,1841,46.6,10.9,924,1026,1772,178,1626,324,287,264,82,1090,0,42,1,178,6,2,22,1,29,86,53,37,38,45,41,46,44,277,56,19,174,51,17,153,26,158,44,0,190,313,15,13
"16",2020,"abril",4,455575,1084,0.002379411,2,0,16,0,0,69,997,10,0,25,115,2,932,46.9,11.2,561,523,1003,81,983,101,159,257,34,507,0,40,3,81,3,0,24,1,8,72,28,26,15,28,25,28,24,133,22,4,84,55,22,57,14,90,22,0,119,175,4,4
"17",2020,"maio",5,341687,482,0.001410648,0,1,22,0,0,18,441,3,0,12,64,6,397,47.5,11,241,241,444,38,464,18,73,127,11,212,0,20,1,38,0,0,11,1,0,13,21,132,5,4,6,7,4,59,7,4,32,13,2,14,7,40,6,0,29,56,7,2
"18",2020,"junho",6,434025,236,0.0005437475,3,0,9,0,0,5,219,0,0,13,114,9,100,51.4,10.7,109,127,198,38,231,5,44,66,7,54,0,22,5,38,0,0,12,1,1,12,8,30,3,6,0,5,2,23,4,0,16,9,10,7,25,14,1,0,16,17,12,2
"19",2020,"julho",7,448516,208,0.0004637516,0,1,15,0,0,1,191,1,0,3,92,5,107,50.1,11,100,108,160,48,201,7,37,61,4,44,0,7,6,48,1,1,8,4,2,14,4,34,3,2,5,4,1,24,5,2,4,4,10,3,12,20,2,0,22,13,5,0
"20",2020,"agosto",8,465980,157,0.0003369243,0,2,21,0,0,11,123,1,0,0,57,4,95,52.3,10.8,80,77,123,34,150,7,39,34,8,29,0,7,6,34,0,0,5,0,2,14,4,6,0,4,0,0,3,30,4,3,7,6,5,14,4,15,3,0,15,10,3,0
"21",2020,"setembro",9,451122,352,0.0007802767,0,2,17,0,0,43,290,4,0,7,71,5,265,48.4,10.2,160,192,331,21,289,63,54,65,16,177,0,13,5,21,1,1,4,0,5,13,12,11,12,7,2,7,20,68,4,11,11,8,5,10,14,24,2,0,46,51,4,0
"22",2020,"outubro",10,470778,1254,0.002663676,4,1,9,1,0,207,1032,30,0,6,34,4,1180,46.2,10.5,557,697,1208,46,1003,251,153,179,57,793,0,20,3,46,3,5,14,4,29,48,43,46,28,26,11,19,29,153,21,11,53,20,20,37,19,118,42,1,176,272,8,1
"23",2020,"novembro",11,423692,1473,0.003476582,16,1,10,0,0,238,1208,35,0,8,65,1,1364,46.5,10.8,645,828,1405,68,1176,297,175,230,60,900,0,31,6,67,4,3,27,3,32,57,43,46,35,37,10,26,40,231,27,15,100,42,12,44,15,113,30,1,173,286,23,2
"24",2020,"dezembro",12,321140,1570,0.004888834,24,0,11,0,0,255,1280,34,0,11,39,4,1482,46.9,10.6,713,857,1484,86,1299,271,184,260,65,937,0,33,2,85,4,0,22,4,19,63,43,53,47,21,9,16,27,268,44,30,89,44,17,65,14,108,48,0,148,353,17,1
